page,candidate,office,district,party,county,precinct,votes
6,Addie Lee Green,State Treasurer,,D,Scott,Beat 4/Forkville,14
6,David McRae,State Treasurer,,R,Scott,Beat 4/Forkville,169
6,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Scott,Beat 4/Forkville,13
6,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Scott,Beat 4/Forkville,170
9,Mike Marlow,State Senate,31,D,Scott,Beat 4/Forkville,15
9,Tyler McCaughn,State Senate,31,R,Scott,Beat 4/Forkville,170
9,Vance Cox,State House,75,R,Scott,Beat 4/Forkville,100
9,Tom Miles,State House,75,D,Scott,Beat 4/Forkville,83
9,Joe C Bradford,State House,78,D,Scott,Beat 4/Forkville,x
9,Randal 'Randy' Rushing,State House,78,R,Scott,Beat 4/Forkville,x
3,Jim Hood,Governor,,D,Scott,Beat 4/Ludlow,119
3,Tate Reeves,Governor,,R,Scott,Beat 4/Ludlow,206
3,Bob Hickingbottom,Governor,,C,Scott,Beat 4/Ludlow,1
3,David R Singletary,Governor,,IND,Scott,Beat 4/Ludlow,5
3,Delbert Hosemann,Lieutenant Governor,,R,Scott,Beat 4/Ludlow,236
3,Jay Hughes,Lieutenant Governor,,D,Scott,Beat 4/Ludlow,92
3,Johnny DuPree,Secretary of State,,D,Scott,Beat 4/Ludlow,121
3,Michael Watson,Secretary of State,,R,Scott,Beat 4/Ludlow,205
3,Jennifer Riley Collins,Attorney General,,D,Scott,Beat 4/Ludlow,116
3,Lynn Fitch,Attorney General,,R,Scott,Beat 4/Ludlow,213
3,Shad White,State Auditor,,R,Scott,Beat 4/Ludlow,287
6,Addie Lee Green,State Treasurer,,D,Scott,Beat 4/Ludlow,103
6,David McRae,State Treasurer,,R,Scott,Beat 4/Ludlow,228
6,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Scott,Beat 4/Ludlow,107
6,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Scott,Beat 4/Ludlow,222
9,Mike Marlow,State Senate,31,D,Scott,Beat 4/Ludlow,105
9,Tyler McCaughn,State Senate,31,R,Scott,Beat 4/Ludlow,220
9,Vance Cox,State House,75,R,Scott,Beat 4/Ludlow,x
9,Tom Miles,State House,75,D,Scott,Beat 4/Ludlow,x
9,Joe C Bradford,State House,78,D,Scott,Beat 4/Ludlow,145
9,Randal 'Randy' Rushing,State House,78,R,Scott,Beat 4/Ludlow,185
3,Jim Hood,Governor,,D,Scott,Beat 4/North Morton,354
3,Tate Reeves,Governor,,R,Scott,Beat 4/North Morton,159
3,Bob Hickingbottom,Governor,,C,Scott,Beat 4/North Morton,1
3,David R Singletary,Governor,,IND,Scott,Beat 4/North Morton,9
